Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
Gibelle,Women Embellished Open Toe Flats,₹594,MRP ₹1699,(65% OFF),4.2,142 Ratings,"A pair of peach-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,Rubber,
Anouk,Women Party Open Toe Flats With Western - Embellished,₹628,MRP ₹1699,(63% OFF),4.5,44 Ratings,"A pair of cream-coloured open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Party,Western - Embellished,Regular,Synthetic,
Kids Ville,Girls Frozen Printed Ballerinas,₹599,MRP ₹999,(40% OFF),4.6,9 Ratings,"A pair of round-toe blue printed ballerinas with regular styling and slip-on closure
Synthetic upper material
Cushioned footbed
Patterned TPR outsole
Soft footbed for better cushioning
Screen print
Tunic sole for all day comfort",Ballerinas,Round Toe,No Back Strap,Printed,Casual,,Regular,TPR,
Mochi,Embellished Open Toe T-Strap Flats,₹1145,MRP ₹2290,(50% OFF),4.4,128 Ratings,"A pair of black t-strap flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole,
Warranty: 1 month
Warranty provided by brand/manufacturer",T-Strap Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,TPR,1 month
Shoetopia,Women Embellished Leather Ethnic One Toe Flats with Embroidered,₹689,MRP ₹1499,(54% OFF),4.2,206 Ratings,"A pair of cream-coloured one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Embroidered,Regular,TPR,
Mochi,Women Open Toe Flats with Laser Cuts,₹1259,MRP ₹2290,(45% OFF),4.2,844 Ratings,"A pair of open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Laser Cuts,Regular,PU,1 month
Anouk,Women Embellished Ethnic One Toe Flats with Embroidered Detail,₹692,MRP ₹2099,(67% OFF),2.3,48 Ratings,"A pair of gold-toned and turquoise blue one toe flats
Synthetic sequinned embellished upper with embroidered detail 
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",One Toe Flats,Round Toe,Slip-On,Embellished,Ethnic,Embroidered,Regular,TPR,1 month
Anouk,Beige Ethnic Embellished Open Toe Flats,₹589,MRP ₹1299,(Rs. 710 OFF),4.2,1.5k Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,PVC,
Mochi,Embellished Open Toe Flats,₹819,MRP ₹1490,(45% OFF),4.1,326 Ratings,"A pair of white open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Resin,1 month
DressBerry,Silver-Toned Textured One Toe Flats,₹699,MRP ₹2499,(Rs. 1800 OFF),4,11 Ratings,"A pair of silver-toned textured one toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Round Toe,Backstrap,Textured,Casual,,Regular,PU,
Anouk,Western - Embellished One Toe Flats,₹597,MRP ₹1299,(54% OFF),4.2,4k Ratings,"A pair of pink t-straps flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Round Toe,Zip,Embellished,Casual,Western - Embellished,Regular,TPU,
Mast & Harbour,Pointed Toe Textured Embellished Detail Ballerinas,₹1119,MRP ₹2499,(Rs. 1380 OFF),4.2,428 Ratings,"A pair of black textured embellished detail ballerinas
Upper Material: suede
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Textured,Casual,Western - Embellished,Regular,TPR,1 month
DressBerry,Women Ballerinas Velvet Flats,₹699,MRP ₹1799,(Rs. 1100 OFF),4.3,176 Ratings,"A pair of black ballerinas
Upper Material: velvet
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,Western - Embellished,Regular,TPR,1 month
Shoetopia,Women Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.3,143 Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,TPR,
Metro,Women Beige Printed Ballerinas Flats,₹1488,MRP ₹2290,(35% OFF),4.5,1.1k Ratings,"A pair of  Beige Printed Ballerinas Flats
Upper Material: leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Printed,Casual,,Regular,TPR,1 month
Shoetopia,Women Colourblocked Ethnic Open Toe Flats,₹699,MRP ₹1999,(65% OFF),4.2,220 Ratings,"A pair of copper-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Colourblocked,Ethnic,Western - Embellished,Regular,TPR,
El Paso,Open Toe Flats,₹824,MRP ₹2749,(70% OFF),4.1,100 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,Rubber,3 months
Lavie,Women Ballerinas Flats,₹999,MRP ₹1499,(Rs. 500 OFF),4.7,16 Ratings,"A pair of nude-coloured ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Party,,Regular,TPR,1 month
MOZAFIA,One Toe Flats With Buckle Detail,₹999,MRP ₹2499,(60% OFF),4.2,94 Ratings,"A pair of white and tan brown one toe flats
Upper Material: Synthetic
Cushioned footbed
Textured and patterned EVA outsole",One Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,EVA,
Mochi,Women Black Colourblocked T-Strap Flats,₹894,MRP ₹1490,(40% OFF),4,220 Ratings,"A pair of black & silver-toned round-toe flats, has regular styling, slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",T-Strap Flats,Round Toe,Slip-On,Colourblocked,Casual,,Regular,TPR,1 month
Mast & Harbour,Women Ballerinas Flats,₹799,MRP ₹2499,(Rs. 1700 OFF),4.2,99 Ratings,"A pair of nude-coloured ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Buckle,Solid,Casual,Western - Embellished,Mid-Top,TPR,1 month
Lavie,Women Textured Pointed Toe Ballerinas,₹999,MRP ₹2499,(60% OFF),4.3,30 Ratings,"A pair of beige open toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Pointed Toe,Slip-On,Solid,Casual,,Regular,TPR,
Shezone,Women Open Toe Flats,₹999,MRP ₹1999,(50% OFF),4.5,32 Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,Western - Embellished,Regular,TPR,1 month
Vishudh,Women Maroon Printed Open Toe Flats,₹450,MRP ₹1098,(59% OFF),4.2,572 Ratings,"A pair of maroon open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,1 month
Allen Solly,Women Ballerinas With Knot Detail,₹1500,MRP ₹1899,(21% OFF),3.5,27 Ratings,"A pair of blue ballerinas
Upper Material: pu
Cushioned footbed
Knot detail
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,TPR,6 months
Roadster,The Lifestyle Co Women Casual Ballerinas Flats,₹899,MRP ₹2799,(Rs. 1900 OFF),3.5,8 Ratings,"A pair of maroon round-toe textured ballerinas flats with regular styling and slip-on closure
Synthetic upper material
Cushioned foot bed
Patterned TPR outsole
Warranty: 1 Month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Mid-Top,TPR,1 month
House of Pataudi,Women Embellished Ethnic Mojaris,₹1775,MRP ₹3699,(52% OFF),4.5,21 Ratings,"A pair of white and gold toned embellished mojaris, has regular styling with slip-on closure
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Comes with a shoe bag

Disclaimer: This product has been crafted by hand and may have slight irregularities in print, embroidery, or colour between individual products.",Mojaris,Round Toe,Slip-On,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
BAESD,Girls Textured Ballerinas with Bows Flats,₹624,MRP ₹2499,(75% OFF),4.4,97 Ratings,"A pair of grey ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Textured,Casual,Bows,Regular,TPR,
Mochi,Textured Open Back Mules Flats,₹1094,MRP ₹1990,(45% OFF),4.2,167 Ratings,"A pair of black mules ,has regular ankle and open back
Synthetic textured upper 
Textured and patterend outsole,
Warranty: 1 month
Warranty provided by brand owner/manufacturer ",Mules,Round Toe,Slip-On,Textured,Casual,,Regular,Resin,1 month
DESI COLOUR,Women Embellished Woven Design Ethnic Mojaris,₹850,MRP ₹2500,(66% OFF),4.5,490 Ratings,"A pair of off white mojaris
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Mojaris,Round Toe,Slip-On,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
Lavie,Women Party Ballerinas Flats,₹999,MRP ₹1499,(Rs. 500 OFF),4.4,35 Ratings,"A pair of blue ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Party,,Regular,TPR,1 month
Marc Loire,Embellished Open Toe Flats,₹1551,MRP ₹1599,(3% OFF),3.9,54 Ratings,"A pair of tan Open toe 
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Ankle Loop,Textured,Casual,,Regular,Rubber,
Anouk,Women Embroidered One Toe Flats,₹644,MRP ₹1499,(57% OFF),4.3,158 Ratings,"A pair of beige One Toe Flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",One Toe Flats,Round Toe,No Back Strap,Woven Design,Ethnic,Embroidered,Regular,TPR,28 days
Metro,Women Printed T-Strap Flats,₹1094,MRP ₹1990,(45% OFF),4.3,251 Ratings,"A pair of blue t-strap flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",T-Strap Flats,Open Toe,No Back Strap,Printed,Casual,,Regular,EVA,1 month
Mast & Harbour,Women Slip-On T-Strap Flats,₹799,MRP ₹2799,(Rs. 2000 OFF),4.9,7 Ratings,"A pair of maroon T-Strap flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",T-Strap Flats,Round Toe,Slip-On,Solid,Casual,,Mid-Top,TPR,1 month
CASSIEY,Women Solid Ballerinas,₹599,MRP ₹999,(Rs. 400 OFF),3.9,687 Ratings,"A pair of ballerinas
Upper Material: croslite
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Mid-Top,Croslite,
Anouk,Tan Brown Printed Open Toe Flats,₹599,MRP ₹2199,(Rs. 1600 OFF),4.2,119 Ratings,"A pair of tan brown open toe flats
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Printed,Casual,,Regular,Neolite,
Van Heusen,Women Strappy Open Toe Flats,₹1421,MRP ₹1799,(21% OFF),3.7,6 Ratings,"A pair of tan open toe strappy flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,
El Paso,Women Open Toe Flats with Buckles,₹849,MRP ₹2399,(Rs. 1550 OFF),3,10 Ratings,"A pair of green open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Slip-On,Solid,Casual,Buckles,Regular,PU,3 months
ADIVER,Embellished Open Toe Flats,₹599,MRP ₹1999,(70% OFF),3.9,46 Ratings,"A pair of brown embellished open toe flats
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Buckle,Solid,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Twisted Open Toe Flats With Backstrap,₹699,MRP ₹1999,(65% OFF),4.2,953 Ratings,"A pair of cream-coloured open toe flats 
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,TPR,
Allen Solly,Women Bow Detail Ballerinas,₹1601,MRP ₹1799,(11% OFF),4.4,251 Ratings,"A pair of camel brown ballerinas with bow detail
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,TPR,6 months
Carlton London,Embellished Open Toe Flats,₹899,MRP ₹1799,(50% OFF),3.7,37 Ratings,"A pair of peach-coloured embellished open toe flats ,has regular ankle and no back strap
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Ethnic - Embellished,Regular,TPR,
Shezone,Women Tan Leather Mules with Laser Cuts,₹999,MRP ₹1999,(50% OFF),4.3,314 Ratings,"A pair of tan Mules with Laser Cuts
Upper Material: leather
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Mules,Peep Toe,Slip-On,Solid,Casual,Laser Cuts,Regular,TPR,1 month
Shoetopia,Women Pink Solid Ballerinas,₹599,MRP ₹999,(40% OFF),4.1,1.3k Ratings,"A pair of pink pointed toe flats, has regular styling, buckle detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Solid,Casual,Bows,Regular,TPR,
Allen Solly,Women Open Toe Flats with Metallic Chain Detail,₹1701,MRP ₹2299,(26% OFF),4.4,16 Ratings,"A pair of lime green open toe flats with metallic chain detail
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Buckle,Solid,Casual,Western - Embellished,Regular,TPR,6 months
Mast & Harbour,Pointed Toe Ballerinas,₹699,MRP ₹1499,(Rs. 800 OFF),4.2,81 Ratings,"A pair of brown pointed toe ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand manufacturer",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,,Regular,TPR,1 month
Anouk,Women Ethnic Embellished One Toe Flats,₹599,MRP ₹1499,(60% OFF),3.8,87 Ratings,"A pair of beige one toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",One Toe Flats,Round Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,28 days
Anouk,Beige Ethnic Embellished One Toe Flats,₹589,MRP ₹1299,(Rs. 710 OFF),4.3,1.8k Ratings,"A pair of beige one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,PVC,
Shoetopia,Women Black Solid Ballerinas,₹699,MRP ₹999,(30% OFF),4.1,7.1k Ratings,"A pair of black round-toe flats, has regular styling, slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,TPU,
Metro,Women Black Textured Ballerinas with Laser Cuts,₹1259,MRP ₹2290,(45% OFF),4.5,1.1k Ratings,"A pair of black ballerinas
Upper Material: leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Textured,Casual,Laser Cuts,Regular,TPR,1 month
BAESD,Girls Embellished Bellerinas,₹659,MRP ₹1499,(56% OFF),4.1,41 Ratings,"A pair of white pointed toe embellished bellerinas
Synthetic leather
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Solid,Casual,Western - Embellished,Regular,PU,
max,Textured Open Toe Flats,₹559,MRP ₹699,(20% OFF),4.3,81 Ratings,"A pair of nude-coloured textured open toe flats, no backstraps
Upper Material:PU
Cushioned footbed
Textured and patterned pu outsole",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,PU,
Allen Solly,Women Knot Detail Open Toe Flats,₹899,MRP ₹1799,(50% OFF),3.9,190 Ratings,"A pair of bronze-toned open toe flats with knot detail

Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,6 months
DressBerry,Black Embellished Open Toe Mules,₹599,MRP ₹1499,(60% OFF),4.2,2.8k Ratings,"A pair of black and silver-toned mules
Upper material: synthetic suede
Cushioned footbed
Textured and patterned outsole",Mules,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,TPR,
Mast & Harbour,Camel Brown Textured Open Toe Flats,₹699,MRP ₹1799,(Rs. 1100 OFF),3.6,46 Ratings,"A pair of camel brown textured open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Textured,Casual,,Regular,Synthetic,
Roadster,The Lifestyle Co Women Open Toe Flats,₹830,MRP ₹2245,(63% OFF),3.6,53 Ratings,"A pair of black solid open toe flats, has regular styling, with slip-on closure
PU upper
Cushioned footbed
PU outsole",One Toe Flats,Round Toe,No Back Strap,Solid,Casual,Buckles,Regular,PU,
Shoetopia,Women Colourblocked Party Open Toe Flats,₹989,MRP ₹2999,(67% OFF),4.6,44 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,No Back Strap,Colourblocked,Party,Western - Embellished,Regular,PU,
Retro Walk,Square Toe Ethnic Embellished Mojaris,₹799,MRP ₹1999,(60% OFF),4.3,327 Ratings,"A pair of copper-toned mojaris 
Upper Material: mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 7 days
Warranty provided by brand owner/manufacturer",Mojaris,Square Toe,Slip-On,Embellished,Ethnic,Ethnic - Embellished,Regular,PVC,7 days
Metro,Women Blue Open Toe Flats,₹1369,MRP ₹2490,(45% OFF),4.4,355 Ratings,"A pair of blue open toe flats, has backstrap 
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,PU,1 month
Metro,Women Gunmetal-Toned Shimmer Open Toe Flats,₹745,MRP ₹1490,(50% OFF),4.2,1.8k Ratings,"A pair of gunmetal-toned shimmer open toe flats, has regular ankle, no backstrap detail
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by Brand Owner / Manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,1 month
Allen Solly,Women Black Textured Open Toe Flats,₹719,MRP ₹1599,(55% OFF),4.3,82 Ratings,"A pair of black croc textured open toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,TPR,6 months
sneakers villa,Textured Leather Open Toe Flats,₹789,MRP ₹999,(21% OFF),3.5,19 Ratings,"A pair of brown open toe flats
Upper Material: leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,Leather,
Shoetopia,Women Black Solid Suede Ballerinas,₹699,MRP ₹999,(30% OFF),4.3,2.3k Ratings,"A pair of black round-toe flats, has regular styling, slip-on detail
Suede upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,TPR,
Shezone,Embellished One Toe Flats,₹799,MRP ₹1999,(Rs. 1200 OFF),4.1,1.7k Ratings,"A pair of black and gold-toned one toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",One Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Buckles,Regular,PVC,1 month
Anouk,Embroidered Ethnic Open Toe Flats,₹589,MRP ₹1299,(Rs. 710 OFF),4.1,1.9k Ratings,"A pair of gold-toned open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Embellished,Ethnic,Embroidered,Regular,PVC,
Metro,Women Pink T-Strap Flats,₹929,MRP ₹1690,(45% OFF),4.4,945 Ratings,"A pair of pink
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",T-Strap Flats,Open Toe,Backstrap,Solid,Casual,Western - Embellished,Regular,Resin,1 month
Mast & Harbour,Women Textured Mules with Buckles Casual Flats,₹849,MRP ₹2499,(66% OFF),4.5,15 Ratings,"A pair of beige mules
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Mules,Square Toe,Slip-On,Textured,Casual,Buckles,Regular,TPC,
Shezone,Women Cream-Coloured Open Toe Flats,₹799,MRP ₹1499,(Rs. 700 OFF),4.2,974 Ratings,"A pair of cream-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by the brand/manufacturer ",Open Toe Flats,Open Toe,No Back Strap,Printed,Casual,Buckles,Regular,Rubber,1 month
Forever Glam by Pantaloons,Round Toe Ballerinas,₹799,MRP ₹999,(20% OFF),4.5,18 Ratings,"A pair of taupe ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,TPR,
Shoetopia,Women Open Toe Flats,₹599,MRP ₹999,(40% OFF),4,1.1k Ratings,"A pair of tan open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Buckle,Solid,Casual,,Regular,TPR,
Shezone,Women Ballerinas with Bows Flats,₹899,MRP ₹1999,(55% OFF),4.6,18 Ratings,"A pair of black ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Backstrap,Solid,Casual,Bows,Regular,PVC,1 month
Allen Solly,Women Ballerinas with Bow Detail,₹1343,MRP ₹1599,(16% OFF),4.5,133 Ratings,"A pair of tan brown solid ballerinas with bow detail, has regular styling, slip-on detail
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,TPR,6 months
DressBerry,Women Party One Toe Flats,₹750,MRP ₹2999,(Rs. 2249 OFF),3.6,27 Ratings,"A pair of beige one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Peep Toe,No Back Strap,Solid,Casual,,Regular,PVC,
Marc Loire,Women Black & Blue Striped Woven Design Ballerinas,₹998,MRP ₹2495,(60% OFF),4,329 Ratings,"A pair of black and blue striped woven design ballerinas
Upper Material: mesh
Cushioned footbed
Textured and patterned outsole
Warranty: Limited warranty",Ballerinas,Round Toe,Slip-On,Woven Design,Casual,,Regular,TPR,Limited Warranty
Van Heusen Woman,Ballerinas with Bows,₹1471,MRP ₹2299,(36% OFF),4.5,22 Ratings,"A pair of tan brown ballerinas with bows
Upper Material: PU
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Solid,Work,Bows,Regular,TPR,
Mast & Harbour,Textured Bow Detail Ballerinas,₹699,MRP ₹1499,(Rs. 800 OFF),4.4,62 Ratings,"A pair of black ballerinas
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Slip-On,Textured,Casual,Bows,Regular,TPR,1 month
Vishudh,Women Silver Toned Laser Cuts One Toe Flats,₹599,MRP ₹999,(40% OFF),4.2,4.8k Ratings,"A pair of silver-toned open-toed flats, has regular styling, no back strap detail
Synthetic upper
Cushioned footbed
Laser cuts detail
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand/manufacturer",One Toe Flats,Open Toe,No Back Strap,Solid,Ethnic,Laser Cuts,Regular,PVC,15 days
Metro,Women Silver-Toned Open Toe Flats,₹1259,MRP ₹2290,(45% OFF),3.8,322 Ratings,"A pair of silver-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,Rubber,1 month
DressBerry,Black Embellished Pointed Toe Ballerinas,₹699,MRP ₹1399,(Rs. 700 OFF),4.3,1.2k Ratings,"A pair of black ballerinas
Upper material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,PVC,1 month
BAESD,Girls Printed Party Ballerinas Flats,₹699,MRP ₹2499,(72% OFF),4.2,97 Ratings,"A pair of grey ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Velcro,Printed,Party,Western - Embellished,Regular,TPR,
BRISKERS,Women Off White One Toe Flats with Buckles,₹1119,MRP ₹2799,(Rs. 1680 OFF),4.1,227 Ratings,"A pair of off white one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,Slip-On,Solid,Casual,Buckles,Regular,Synthetic,
Marc Loire,Textured Open Toe Flats With Backstrap,₹1487,MRP ₹1599,(7% OFF),4.1,582 Ratings,"A pair of nude-coloured open toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Velcro,Textured,Casual,,Regular,Rubber,
KazarMax,Textured Buckle Detail Double Strap Vegan Leather One Toe Flats,₹989,MRP ₹2999,(67% OFF),4.2,38 Ratings,"A pair of navy blue textured buckle detail double strap one toe flats
Upper material: vegan leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",One Toe Flats,Open Toe,No Back Strap,Textured,Casual,Buckles,Regular,EVA,1 month
